fld	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11
---	--	--	--	--	--	--	--	--	--	---	---
0.000000	0.502181	-0.002428	0.000000	0.394519	0.004144	0.000000	-0.001217	-0.000000	-0.054089	-0.000014	0.000000
0.005000	0.501533	-0.002428	0.006209	0.393869	0.003731	0.000016	-0.001217	0.005572	-0.054091	-0.000014	-0.000000
0.010000	0.499591	-0.002428	0.012399	0.391920	0.002490	0.000032	-0.001217	0.011134	-0.054096	-0.000014	-0.000003
0.015000	0.496367	-0.002428	0.018549	0.388685	0.000425	0.000049	-0.001217	0.016678	-0.054105	-0.000014	-0.000010
0.020000	0.491880	-0.002428	0.024640	0.384183	-0.002461	0.000065	-0.001217	0.022193	-0.054117	-0.000014	-0.000023
0.025000	0.486155	-0.002428	0.030651	0.378438	-0.006165	0.000081	-0.001217	0.027670	-0.054133	-0.000014	-0.000045
0.030000	0.479224	-0.002427	0.036565	0.371484	-0.010679	0.000097	-0.001217	0.033099	-0.054152	-0.000014	-0.000078
0.035000	0.471128	-0.002427	0.042360	0.363360	-0.015996	0.000113	-0.001217	0.038472	-0.054175	-0.000014	-0.000124
0.040000	0.461911	-0.002427	0.048018	0.354112	-0.022108	0.000130	-0.001217	0.043779	-0.054200	-0.000015	-0.000186
0.045000	0.451625	-0.002426	0.053519	0.343791	-0.029005	0.000146	-0.001217	0.049010	-0.054227	-0.000015	-0.000265
0.050000	0.440327	-0.002426	0.058845	0.332455	-0.036676	0.000162	-0.001217	0.054157	-0.054257	-0.000015	-0.000364
0.055000	0.428077	-0.002426	0.063974	0.320165	-0.045107	0.000178	-0.001216	0.059210	-0.054289	-0.000015	-0.000486
0.060000	0.414944	-0.002425	0.068890	0.306988	-0.054285	0.000195	-0.001216	0.064160	-0.054322	-0.000015	-0.000633
0.065000	0.400996	-0.002425	0.073573	0.292994	-0.064193	0.000211	-0.001216	0.068998	-0.054357	-0.000015	-0.000807
0.070000	0.386306	-0.002424	0.078003	0.278258	-0.074816	0.000227	-0.001216	0.073715	-0.054393	-0.000015	-0.001011
0.075000	0.370952	-0.002424	0.082164	0.262854	-0.086134	0.000243	-0.001215	0.078303	-0.054429	-0.000015	-0.001248
0.080000	0.355010	-0.002423	0.086036	0.246863	-0.098128	0.000260	-0.001215	0.082753	-0.054465	-0.000016	-0.001521
0.085000	0.338562	-0.002423	0.089601	0.230365	-0.110777	0.000276	-0.001215	0.087055	-0.054500	-0.000016	-0.001832
0.090000	0.321687	-0.002422	0.092842	0.213440	-0.124057	0.000292	-0.001215	0.091203	-0.054535	-0.000016	-0.002184
0.095000	0.304469	-0.002421	0.095740	0.196172	-0.137945	0.000309	-0.001214	0.095186	-0.054567	-0.000016	-0.002581
0.100000	0.286987	-0.002421	0.098279	0.178643	-0.152415	0.000325	-0.001214	0.098998	-0.054598	-0.000017	-0.003025
0.105000	0.269324	-0.002420	0.100441	0.160934	-0.167440	0.000341	-0.001213	0.102630	-0.054625	-0.000017	-0.003520
0.110000	0.251560	-0.002419	0.102209	0.143126	-0.182991	0.000358	-0.001213	0.106074	-0.054649	-0.000017	-0.004069
0.115000	0.233774	-0.002418	0.103567	0.125299	-0.199038	0.000374	-0.001213	0.109322	-0.054668	-0.000017	-0.004676
0.120000	0.216043	-0.002418	0.104498	0.107531	-0.215549	0.000390	-0.001212	0.112368	-0.054683	-0.000018	-0.005344
0.125000	0.198442	-0.002417	0.104986	0.089898	-0.232492	0.000407	-0.001212	0.115202	-0.054691	-0.000018	-0.006078
0.130000	0.181044	-0.002416	0.105016	0.072473	-0.249831	0.000423	-0.001211	0.117819	-0.054693	-0.000018	-0.006881
0.135000	0.163918	-0.002415	0.104572	0.055327	-0.267531	0.000440	-0.001211	0.120212	-0.054687	-0.000019	-0.007757
0.140000	0.147132	-0.002414	0.103639	0.038528	-0.285553	0.000456	-0.001210	0.122372	-0.054672	-0.000019	-0.008711
0.145000	0.130749	-0.002413	0.102203	0.022140	-0.303859	0.000473	-0.001210	0.124295	-0.054648	-0.000019	-0.009747
0.150000	0.114830	-0.002412	0.100249	0.006225	-0.322407	0.000489	-0.001209	0.125973	-0.054613	-0.000020	-0.010870
0.155000	0.099430	-0.002411	0.097764	-0.009161	-0.341156	0.000506	-0.001209	0.127400	-0.054567	-0.000020	-0.012084
0.160000	0.084602	-0.002409	0.094735	-0.023964	-0.360061	0.000522	-0.001208	0.128571	-0.054508	-0.000020	-0.013396
0.165000	0.070394	-0.002408	0.091147	-0.038134	-0.379078	0.000539	-0.001207	0.129479	-0.054435	-0.000021	-0.014809
0.170000	0.056851	-0.002407	0.086990	-0.051625	-0.398158	0.000556	-0.001207	0.130120	-0.054347	-0.000021	-0.016331
0.175000	0.044013	-0.002406	0.082251	-0.064398	-0.417255	0.000572	-0.001206	0.130489	-0.054242	-0.000022	-0.017965
0.180000	0.031915	-0.002404	0.076918	-0.076414	-0.436319	0.000589	-0.001206	0.130580	-0.054120	-0.000022	-0.019720
0.185000	0.020589	-0.002403	0.070981	-0.087641	-0.455297	0.000606	-0.001205	0.130390	-0.053978	-0.000022	-0.021600
0.190000	0.010062	-0.002402	0.064430	-0.098050	-0.474137	0.000622	-0.001204	0.129913	-0.053816	-0.000023	-0.023612
0.195000	0.000357	-0.002400	0.057254	-0.107618	-0.492785	0.000639	-0.001204	0.129147	-0.053632	-0.000023	-0.025764
0.200000	-0.008510	-0.002399	0.049446	-0.116325	-0.511186	0.000656	-0.001203	0.128088	-0.053424	-0.000024	-0.028063
0.205000	-0.016523	-0.002397	0.040995	-0.124156	-0.529282	0.000673	-0.001202	0.126733	-0.053191	-0.000024	-0.030515
0.210000	-0.023674	-0.002396	0.031896	-0.131099	-0.547015	0.000690	-0.001201	0.125079	-0.052930	-0.000025	-0.033130
