fld	z1	z2	z3	z4	z5	z6	z7	z8	z9	z10	z11
---	--	--	--	--	--	--	--	--	--	---	---
0.000000	-0.095860	0.000000	0.000000	-0.130634	0.000000	0.000000	-0.000000	0.000000	-0.023511	-0.000000	-0.000000
0.001200	-0.095761	0.000000	-0.001601	-0.130532	-0.000069	0.000000	-0.000000	-0.000421	-0.023508	0.000000	-0.000000
0.002400	-0.095466	0.000000	-0.003202	-0.130227	-0.000277	0.000000	-0.000000	-0.000842	-0.023498	-0.000000	-0.000001
0.003600	-0.094975	0.000000	-0.004802	-0.129720	-0.000624	0.000000	-0.000000	-0.001262	-0.023482	-0.000000	-0.000003
0.004800	-0.094287	0.000000	-0.006401	-0.129010	-0.001108	0.000000	-0.000000	-0.001682	-0.023459	-0.000000	-0.000008
0.006000	-0.093405	0.000000	-0.007999	-0.128099	-0.001729	0.000000	-0.000000	-0.002101	-0.023431	0.000000	-0.000015
0.007200	-0.092328	-0.000000	-0.009594	-0.126987	-0.002486	0.000000	-0.000000	-0.002519	-0.023395	0.000000	-0.000026
0.008400	-0.091059	-0.000000	-0.011187	-0.125677	-0.003378	0.000000	-0.000000	-0.002936	-0.023353	-0.000000	-0.000041
0.009600	-0.089599	-0.000000	-0.012777	-0.124169	-0.004403	0.000000	-0.000000	-0.003351	-0.023305	-0.000000	-0.000061
0.010800	-0.087950	0.000000	-0.014364	-0.122466	-0.005559	0.000000	-0.000000	-0.003765	-0.023251	-0.000000	-0.000087
0.012000	-0.086113	0.000000	-0.015947	-0.120568	-0.006846	0.000000	-0.000000	-0.004176	-0.023190	0.000000	-0.000120
0.013200	-0.084091	0.000000	-0.017527	-0.118480	-0.008259	0.000000	-0.000000	-0.004586	-0.023122	-0.000000	-0.000159
0.014400	-0.081887	0.000000	-0.019102	-0.116202	-0.009798	0.000000	-0.000000	-0.004993	-0.023048	-0.000000	-0.000207
0.015600	-0.079503	0.000000	-0.020673	-0.113738	-0.011459	0.000000	-0.000000	-0.005398	-0.022968	-0.000000	-0.000263
0.016800	-0.076941	0.000000	-0.022238	-0.111091	-0.013240	0.000000	-0.000000	-0.005801	-0.022881	0.000000	-0.000328
0.018000	-0.074207	0.000000	-0.023798	-0.108264	-0.015138	0.000000	-0.000000	-0.006200	-0.022788	-0.000000	-0.000403
0.019200	-0.071302	-0.000000	-0.025353	-0.105261	-0.017148	0.000000	-0.000000	-0.006597	-0.022689	-0.000000	-0.000490
0.020400	-0.068231	0.000000	-0.026902	-0.102084	-0.019269	0.000000	-0.000000	-0.006990	-0.022583	0.000000	-0.000587
0.021600	-0.064997	0.000000	-0.028444	-0.098739	-0.021495	0.000000	-0.000000	-0.007380	-0.022471	0.000000	-0.000697
0.022800	-0.061605	0.000000	-0.029980	-0.095229	-0.023823	0.000000	-0.000000	-0.007767	-0.022352	-0.000000	-0.000820
0.024000	-0.058059	0.000000	-0.031509	-0.091559	-0.026248	0.000000	-0.000000	-0.008150	-0.022227	0.000000	-0.000957
0.025200	-0.054364	0.000000	-0.033030	-0.087734	-0.028767	0.000000	-0.000000	-0.008529	-0.022095	0.000000	-0.001107
0.026400	-0.050526	0.000000	-0.034545	-0.083758	-0.031373	0.000000	-0.000000	-0.008905	-0.021957	0.000000	-0.001273
0.027600	-0.046548	0.000000	-0.036052	-0.079638	-0.034063	0.000000	-0.000000	-0.009276	-0.021813	0.000000	-0.001455
